Molecule Name,SMILES,OCNT Batch,pEC50,pEC50_ci.lower (-log10(molarity)),pEC50_ci.upper (-log10(molarity)),Emax_estimate (log2FC vs. baseline),Emax_ci.lower (log2FC vs. baseline),Emax_ci.upper (log2FC vs. baseline),Emax.vs.pos.ctrl_estimate (dimensionless),Emax.vs.pos.ctrl_ci.lower (dimensionless),Emax.vs.pos.ctrl_ci.upper (dimensionless),pEC50_std.error (-log10(molarity)),Emax_std.error (log2FC vs. baseline),Emax.vs.pos.ctrl_std.error (dimensionless),Split
OADMET-0006089,CC1C2CCCCC2CN1C(=O)C1=CC(F)=CC2=C1CNCC2,OCNT-2318682-AA-004,5.27,5.13,5.38,1.67,1.59,1.81,0.539,0.489,0.615,0.062,0.0583,0.0339,Train
OADMET-0006088,CN(C(=O)C1=CC=CC=C1SCC(=O)N1CCC2=CC=CC=C21)C1CCNC1,OCNT-2318669-AA-004,5.08,4.89,5.22,1.7,1.59,1.9,0.491,0.432,0.599,0.087,0.0844,0.0442,Train
OADMET-0006087,O=C(C1CCCC1)N1CC(S(=O)(=O)NC2CC2C2=C(F)C=CC=C2F)C1,OCNT-2318665-AA-004,5.12,4.79,5.39,1.88,1.65,2.22,0.663,0.52,0.904,0.166,0.146,0.0969,Train
OADMET-0006086,CC1CN(C(=O)C2=CC=CC(C3=C(F)C=CC=C3F)=C2)CCN1C1=NC=CN2C=NN=C12,OCNT-2318651-AA-004,5.23,4.99,5.42,2.2,2.02,2.48,0.889,0.746,1.11,0.112,0.112,0.0918,Train
OADMET-0006085,CC1(C2=NOC(C3=NN(CC4=CC=C(F)C=C4)C(=O)CC3)=N2)CCC1,OCNT-2318648-AA-004,5.28,5.18,5.37,1.82,1.71,1.94,0.623,0.55,0.705,0.0466,0.0603,0.0391,Train
OADMET-0006084,COC1=NC=NC(OC)=C1C(=O)N1CCC(CC2=CC=C(F)C=C2)C1,OCNT-2318630-AA-004,4.5,4.01,4.73,1.75,1.59,2.39,0.584,0.487,1.01,0.151,0.165,0.112,Train
OADMET-0006083,CCS(=O)(=O)N1CCC(C2=CC=CC=C2)(C2=NC(CC3=CN=C(C4CC4)O3)=NO2)CC1,OCNT-2318628-AA-004,4.66,4.25,4.96,2.54,2.18,3.04,1.19,0.859,1.75,0.183,0.223,0.244,Train
OADMET-0006082,FC1=CC=C(C2CCC(N3C=C(C4CCNCC4)N=N3)C2)C=C1F,OCNT-2318615-AA-004,5.18,5.05,5.28,1.62,1.59,1.7,0.508,0.477,0.558,0.0597,0.0307,0.0199,Train
OADMET-0006081,CC(C)C1=CC=C(CNC(=O)NCC2CC3(CC3)S(=O)(=O)N2)C=C1,OCNT-2318613-AA-004,4.31,4.07,4.49,1.66,1.59,1.86,0.529,0.481,0.646,0.106,0.0765,0.0454,Train
OADMET-0006080,CC1=NN=C2C=CC(C3=NOC(C4CC(C)(C)OC5=CC=CC=C54)=N3)=CN12,OCNT-2318606-AA-004,4.24,3.86,4.57,3.67,3.21,4.24,2.59,1.78,3.89,0.183,0.265,0.544,Train
OADMET-0006079,CN(CC1CCCCC1O)C(=O)NCC1CCN(CC(F)(F)F)CC1,OCNT-2318602-AA-004,5.3,5.14,5.42,2.2,2.06,2.36,0.882,0.775,1.02,0.0712,0.0758,0.0626,Train
OADMET-0006078,CCCOC1=CC=C(S(=O)(=O)NC2=NOC(CC3=CC=CC=C3)=N2)C=C1,OCNT-2318594-AA-004,4.19,3.94,4.4,3.69,3.16,4.32,2.65,1.73,4.13,0.119,0.299,0.626,Train
